id,name,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21
138,Panchgani,hill,waterbody,cave,dam,village,vegetation,nature,,,,,,,,,,,,,,
139,Park Street,club and food,nightlife,shopping,malls,amusement,activities,junction,,,,,,,,,,,,,,
140,Patna,city,capital,history,architecture and sculpture,art,activities,amusement,junction,,,,,,,,,,,,,
141,Pelling,hill,cloud,snow peak,waterfalls,activities,adventure,vegetation,nature,,,,,,,,,,,,,
142,Pondicherry,sea beach,waterbody,nature,city,activities,amusement,,,,,,,,,,,,,,,
143,Princep Ghat,waterbody,picnic,nature,architecture and sculpture,,,,,,,,,,,,,,,,,
144,Pune,industrial town,hill,vegetation,city,activities,malls,amusement,history,architecture and sculpture,,dam,junction,tech city,,,,,,,,
145,Punjab,city,activities,amusement,junction,vegetation,nature,waterbody,history,architecture and sculpture,sacred,foothill,sikh,,,,,,,,,
146,Puri,sea beach,sacred,festival,hindu,religious,nature,art,club and food,,,,,,,,,,,,,
147,Purulia,waterbody,art,village,hill,tribal,waterfalls,,,,,,,,,,,,,,,
148,Rajasthan,desert,hill,history,architecture and sculpture,art,nature,adventure,activities,tribal,city,shopping,,,,,,,,,,
149,Rajgir,architecture and sculpture,art,cave,waterbody,,,,,,,,,,,,,,,,,
150,Rajkot,museum,dam,waterbody,architecture and sculpture,,,,,,,,,,,,,,,,,
151,Ranchi,waterbody,dam,city,capital,activities,,,,,,,,,,,,,,,,
152,Rangaroon Tea Estate,tea garden,hill,foothill,cloud,vegetation,nature,,,,,,,,,,,,,,,
153,Rann Of Kutch,desert,nature,waterbody,cave,architecture and sculpture,,,,,,,,,,,,,,,,
154,Ravangla,hill,snow peak,cloud,vegetation,nature,buddhist,nature,,,,,,,,,,,,,,
155,Rishop,hill,snow peak,cloud,vegetation,nature,trek,waterfalls,nature,,,,,,,,,,,,,
156,Rourkela,hill,dam,industrial town,activities,,,,,,,,,,,,,,,,,
157,Sambalpur,hill,dam,industrial town,activities,,,,,,,,,,,,,,,,,
158,Sandakphu,hill,himalaya,snow peak,trek,cloud,adventure,activities,vegetation,nature,,,,,,,,,,,,
159,Santiniketan,village,art,history,activities,,,,,,,,,,,,,,,,,
160,Sasaram,waterfalls,architecture and sculpture,history,,,,,,,,,,,,,,,,,,
161,Sattal,village,waterbody,hill,snow peak,activities,cloud,vegetation,nature,,,,,,,,,,,,,
162,Science City,amusement,picnic,club and food,activities,,,,,,,,,,,,,,,,,
163,Shankarpur,sea beach,club and food,nature,activities,amusement,picnic,,,,,,,,,,,,,,,
164,Shillong,hill,cloud,city,shopping,activities,vegetation,waterbody,waterfalls,nature,amusement,cave,club and food,capital,junction,,,,,,,
165,Shimla,hill,cloud,city,shopping,activities,vegetation,waterbody,waterfalls,nature,amusement,cave,club and food,capital,junction,,,,,,,
166,Shulekha,junction,club and food,shopping,activities,,,,,,,,,,,,,,,,,
167,Sikkim,snow peak,hill,himalaya,mountain pass,waterbody,nature,vegetation,cloud,activities,amusement,trek,shopping,junction,adventure,waterfalls,buddhist,,,,,
168,Silchar,tea garden,industrial town,city,activities,waterbody,junction,foothill,,,,,,,,,,,,,,
169,Siliguri,foothill,junction,city,activities,amusement,waterbody,tea garden,,,,,,,,,,,,,,
170,Sontoshpur,junction,club and food,activities,shopping,,,,,,,,,,,,,,,,,
171,St. Pauls Cathedral,sacred,religious,festival,christian,,,,,,,,,,,,,,,,,
172,Sundarbans,waterbody,safari,animals,national park,wildlife,vegetation,nature,tribal,,,,,,,,,,,,,
173,Surat,sea beach,city,industrial town,activities,amusement,club and food,malls,,,,,,,,,,,,,,
174,Tajpur,sea beach,club and food,nature,activities,amusement,picnic,,,,,,,,,,,,,,,
175,Taki,city,waterbody,picnic,nature,,,,,,,,,,,,,,,,,
176,Tarapith,sacred,hindu,religious,festival,,,,,,,,,,,,,,,,,
177,Thanjavur,architecture and sculpture,art,hindu,city,,,,,,,,,,,,,,,,,
178,Thiruvananthapuram,sea beach,city,capital,industrial town,history,architecture and sculpture,art,hindu,christian,activities,amusement,junction,,,,,,,,,
179,Tinchuley,vegetation,hill,cloud,tea garden,waterbody,snow peak,nature,,,,,,,,,,,,,,
180,Tirumala,hill,architecture and sculpture,art,hindu,dam,waterbody,city,,,,,,,,,,,,,,
181,Tirupati Temple,waterfalls,religious,hindu,sacred,festival,,,,,,,,,,,,,,,,
182,Tripura,waterbody,city,capital,hill,activities,nature,tribal,,,,,,,,,,,,,,
183,Tuticorin,sea beach,industrial town,city,activities,,,,,,,,,,,,,,,,,
184,Udaipur,hill,history,architecture and sculpture,art,waterbody,museum,,,,,,,,,,,,,,,
185,Umaid Bhawan Palace,history,architecture and sculpture,art,nightlife,club and food,picnic,activities,,,,,,,,,,,,,,
186,Uttar Para,junction,activities,,,,,,,,,,,,,,,,,,,
187,Uttar Pradesh,junction,history,architecture and sculpture,art,hindu,city,amusement,junction,activities,muslim,shopping,wildlife,safari,national park,hill,waterbody,sacred,religious,festival,tech city,
188,Uttarakhand,himalaya,snow peak,hill,nature,mountain pass,waterbody,waterfalls,waterbody,city,amusement,activities,cloud,nature,,,,,,,,
189,Vadodara,city,industrial town,activities,junction,,,,,,,,,,,,,,,,,
190,"Vaishno Devi, Katra",hill,sacred,hindu,festival,religious,nature,,,,,,,,,,,,,,,
191,Varanasi,waterbody,hindu,sacred,festival,religious,architecture and sculpture,art,,,,,,,,,,,,,,
192,Victoria Memorial,history,architecture and sculpture,picnic,,,,,,,,,,,,,,,,,,
193,Visakhapatnam,sea beach,hill,nature,vegetation,city,amusement,activities,club and food,,,,,,,,,,,,,
194,Zuluk,hill,snow peak,waterbody,vegetation,nature,cloud,,,,,,,,,,,,,,,
