tag_id,place_id
91,42
91,21
91,29
91,37
91,36
91,22
91,17
91,33
91,45
92,20
92,47
92,33
92,50
92,43
92,49
92,39
92,12
92,51
92,25
92,2
92,1
93,49
93,50
93,45
93,20
93,42
93,21
93,2
94,21
94,20
94,42
94,45
94,29
94,2
94,9
94,49
95,39
95,11
95,1
95,25
95,47
95,33
95,10
96,20
96,50
96,49
96,47
96,33
96,12
97,20
97,10
97,33
97,48
97,12
97,50
97,47
97,46
98,24
98,1
98,49
98,15
98,5
99,11
99,44
99,24
99,13
99,40
99,34
99,5
99,30
99,3
99,1
99,8
99,28
99,27
99,26
99,23
99,6
100,26
100,49
100,15
100,5
100,1
101,21
101,42
101,20
101,45
101,49
101,14
101,2
101,48
101,12
101,29
101,32
101,7
101,33
102,25
102,39
102,1
102,2
102,33
103,20
103,12
103,42
103,47
103,43
103,50
103,32
103,33
103,2
104,20
104,49
104,50
104,15
104,47
104,12
104,23
104,5
104,33
105,14
105,20
105,21
105,49
105,42
105,45
105,2
105,33
105,7
105,29
106,20
106,12
106,42
106,47
106,43
106,50
106,32
106,33
106,2
107,8
107,23
107,5
107,6
107,22
107,11
107,3
107,26
107,1
107,31
107,40
108,32
108,51
108,50
108,4
108,20
108,5
108,6
108,9
108,49
108,11
108,26
108,24
109,22
109,5
109,6
109,36
109,26
109,24
109,15
109,1
110,20
110,47
110,12
110,49
110,50
110,33
111,39
111,20
111,12
111,11
111,28
111,1
111,24
111,3
111,5
111,6
111,34
111,13
111,40
111,27
111,33
111,26
111,49
111,50
112,26
112,5
112,6
112,48
112,47
113,20
113,21
113,42
113,29
113,45
113,33
113,49
113,2
113,11
113,50
113,1
113,26
113,40
113,12
113,47
114,39
114,13
114,33
114,1
114,3
114,35
115,20
115,5
115,33
115,49
115,12
115,50
115,47
115,46
116,36
116,37
116,17
116,22
116,7
116,1
116,26
116,23
116,5
116,6
116,49
117,36
117,37
117,5
117,6
117,22
118,26
118,1
118,48
119,26
119,1
119,48
120,20
120,12
120,47
120,49
120,50
120,33
120,32
120,45
120,46
120,2
120,40
120,3
120,13
121,20
121,51
121,33
121,48
121,12
121,50
121,47
121,46
122,49
122,15
122,48
122,35
122,33
123,39
123,28
123,11
123,8
123,24
123,44
123,34
123,3
123,1
123,27
123,40
123,13
123,26
123,6
123,5
124,20
124,12
124,43
124,47
124,33
124,50
124,49
124,15
124,32
125,23
125,6
125,5
125,26
125,1
125,48
125,49
125,13
125,15
125,35
126,50
126,49
126,20
126,12
126,47
126,33
126,1
127,11
127,44
127,26
127,1
127,23
127,5
127,6
127,13
127,40
127,27
127,24
128,20
128,49
128,33
128,48
128,12
128,50
